Въпроси;Отговори
Зала Арена 8888 София;бул. Асен Йорданов №1
Спортен Център Орландовци;ул. Нешо Бончев №26
Асикс Арена;ул. Манастирска №35
Зала Универсиада;бул. Шипченски проход №2
Спортен център Максфит;ул. Полковник Борис Дрангов №8
Спортен комплекс Академика 4-км;бул. Цариградско шосе №125
Стадион Виваком Арена  Георги Аспарухов;ул. Тодорини кукли №47
Национален стадион Васил Левски;бул. Евлоги и Христо Георгиеви №38
Стадион Българска армия;бул. Драган Цанков №3
Стадион Славия;ул. Коломан 1
Стадион Раковски;ул. Балша №18
Стадион Академик;ул  акад. Ростислав Каишев №2
