Въпроси;Отговори
ВСУ Любен Каравелов;ул. Суходолска №175
Национална Музикална Академия Панчо Владигеров;бул. Евлоги Георгиев №94
Воена Академия;Бул. Евлоги Георгиеви №82
Лесотехнически университет;бул. св.Климент Охридски №10
Университет по архитектура строителство и геодезия;бул. Христо Смирнески №1
Висше транспортно училище Тодор Каблешков;ул. Гео Милев №158
Медицински университет;ул. академик Иван Евстатиев Гешов №15
СУ Св.Климент Охридски;бул. Цар Освободител №15
Технически университет;бул. Св.Климент Охридски №8
Академия МВР;бул. Александър Малинов №91
Химико-технологичен и металургичен университет;бул. Монтевидео №21
Национална художествена академия;ул. Шипка №1
