Въпроси;Отговори
Министерство на вътрешните работи;ул. 6-ти Септември №29
Министерство на правосъдието;ул. Славянска №1
Министерство на замеделието храните и горите;бул. Христо Ботев №55
Министерство на труда и социалната политика;ул. Триадица №2
Министерство на финансите;ул. Г.С. Раковски №102
Министерство на туризма;ул. Съборна №1
Министерство на отбраната;ул. Дякон Игнатий №3
Министерство на образованието и науката;Бул. Княз Ал. Дондуков №2А
Министерство на околоната среда и водите;Бул. Княгиня Мария Луиза №22
Министерство на Транспорта и Съобщенията;ул. Дякон Игнатий №9
Столична Дирекция Пожарна безопасноснот и защита на населението;ул. Екзарх Йосиф №46
Столична дирекция на вътрешните работи(СДВР);ул. Антим №5
ЖП гара Поуяне;Бул. Мадрид №57
ЖП гара Захарна Фабрика;ул. Крум Христов Стоянов №1
Автогара ЮГ ;Бул. Самоков №54
Централна Автогара София;Бул. Княгиня Мария Луиза №100
Централно управление на НОИ;бул. Ал. Стамболийски №62
08мо РУ - СДВР;ул. Иван Арабаджията бл №141
03-то РУ -СДВР;ул. Индже Войвода №2
Централно Управление на НАП;Бул. Княз Ал. Дондуков №52
ТД на НАП - София;ул. Аксаков №21
ТД на нап  - София - област;бул. Витоша №6
УМБАЛ Александровска;ул. св Георги Софийски №1
"УМБАЛСМ ""Н.И.Пирогов""";бул. Ген Тотлебен №21
Център за спешна медицинска помощ;бул. Васил Левски №129
Военномедицинска Академия (ВМА);ул. св Георги Софийски №3
Национална кардиологична болница (3та градска);ул. Коньовица №65
Аджъбаде, Сити Клиник - София (Болница Токуда);бул. Никола Й. Въпцаров №51 вход от към ул Атанас Дуков
Болница Царица Йоана;ул. Бяло Море №8
Университетска АГ болница Майчин Дом;ул. Здраве №2
Първа АГ болница - София;ул. Михалаки Ташев №2
"МБАЛ за женско здраве ""Надежда""";ул. Блага вест №3
Медицински комплекс Доверие;ул. Фридрих Грюнангер №2
Зала Арена 8888 София;бул. Асен Йорданов №1
Спортен Център Орландовци;ул. Нешо Бончев №26
Асикс Арена;ул. Манастирска №35
Зала Универсиада;бул. Шипченски проход №2
Спортен център Максфит;ул. Полковник Борис Дрангов №8
Соиртен комплекс Академика 4-км;бул. Цариградско шосе №125
Стадион Виваком Арена  Георги Аспарухов;ул. Тодорини кукли №47
Национален стадион Васил Левски;бул. Евлоги и Христо Георгиеви №38
Стадион Българска армия;бул. Драган Цанков №3
Стадион Славия;ул. Коломан 1
Стадион Раковски;ул. Балша №18
Стадион Академик;ул  акад. Ростислав Каишев №2
ВСУ Любен Каравелов;ул. Суходолска №175
Национална Музикална Академия Панчо Владигеров;бул. Евлоги Георгиев №94
Воена Академия;Бул. Евлоги Георгиеви №82
Лесотехнически университет;бул. св.Климент Охридски №10
Университет по архитектура строителство и геодезия;бул. Христо Смирнески №1
Висше транспортно училище Тодор Каблешков;ул. Гео Милев №158
Медицински университет;ул. академик Иван Евстатиев Гешов №15
СУ Св.Климент Охридски;бул. Цар Освободител №15
Технически университет;бул. Св.Климент Охридски №8
Академия МВР;бул. Александър Малинов №91
Химико-технологичен и металургичен университет;бул. Монтевидео №21
Национална художествена академия;ул. Шипка №1
Централ парк хотел;бул. Витоша №106
Гранд хотел София;ул. ген.Гурко №1
хотел Хемус;бул. Черни Връх №25
Гранд хотел България;бул Цар Освободител №4
хотел Брод;бул. Симеоновско Шосе №66
хотел Маринела;бул. Джеймс Баучер №100
хотел Кистл палас;ул. Шипка №14
хотел Мег Лозенец;ул. Крум Попов №84
хотел Интер Континентал;пл. Народно събрание №4
Хотел Централ;бул. Христо Ботев №52
хотел ХИЛ;бул. Джеймс Баучер №76Б
хотел ЗОО;бул. Симеоновско шосе №6
хотел Витошко Лале;пл. Цар Иван Александър №1
